[Electrode Labels]
[      FZ]	[     FC3]	[     FCZ]	[     FC4]	[      C3]	[      CZ]	[      C4]	[     CP3]	[     CPZ]	[     CP4]	[      P3]	[      PZ]	[      P4]	[      OZ]	[     FP1]	[     FP2]	[      A2]	[   P8/T6]	[     TP7]	[     TP8]	[   P7/T5]	[    VEOG]	[    HEOG]	[    Nose]	
[Average Data]
    -0.0207	     0.0082	    -0.0899	    -0.0842	    -0.0025	    -0.1412	    -0.0744	     0.0119	    -0.1057	    -0.0705	    -0.0060	    -0.0641	     0.0210	    -0.0450	    -0.1419	    -0.0020	     0.0648	     0.0951	     0.0507	     0.0832	     0.0739	    -1.3335	    -0.0128	    -0.0602	
    -0.0211	     0.0241	    -0.0875	    -0.0876	     0.0121	    -0.1333	    -0.0726	     0.0280	    -0.0899	    -0.0682	     0.0082	    -0.0486	     0.0242	    -0.0496	    -0.1547	     0.0049	     0.0686	     0.0842	     0.0595	     0.0682	     0.0825	    -1.3252	    -0.0439	    -0.0573	
    -0.0270	     0.0303	    -0.0863	    -0.0923	     0.0259	    -0.1258	    -0.0741	     0.0381	    -0.0811	    -0.0659	     0.0175	    -0.0357	     0.0233	    -0.0515	    -0.1682	     0.0055	     0.0732	     0.0737	     0.0671	     0.0526	     0.0881	    -1.3181	    -0.0645	    -0.0556	
    -0.0331	     0.0371	    -0.0851	    -0.0922	     0.0355	    -0.1169	    -0.0698	     0.0491	    -0.0693	    -0.0594	     0.0348	    -0.0243	     0.0265	    -0.0527	    -0.1771	     0.0075	     0.0765	     0.0604	     0.0760	     0.0369	     0.0944	    -1.3106	    -0.0660	    -0.0516	
    -0.0389	     0.0440	    -0.0853	    -0.0897	     0.0434	    -0.1112	    -0.0665	     0.0585	    -0.0612	    -0.0553	     0.0385	    -0.0132	     0.0264	    -0.0528	    -0.1858	    -0.0008	     0.0798	     0.0492	     0.0764	     0.0185	     0.0966	    -1.3041	    -0.0453	    -0.0536	
    -0.0441	     0.0474	    -0.0817	    -0.0887	     0.0510	    -0.1052	    -0.0587	     0.0670	    -0.0503	    -0.0459	     0.0471	    -0.0056	     0.0283	    -0.0523	    -0.1941	    -0.0097	     0.0823	     0.0349	     0.0810	     0.0025	     0.0982	    -1.2948	    -0.0107	    -0.0553	
    -0.0517	     0.0488	    -0.0860	    -0.0907	     0.0573	    -0.1021	    -0.0527	     0.0745	    -0.0446	    -0.0406	     0.0510	     0.0017	     0.0295	    -0.0526	    -0.1998	    -0.0234	     0.0856	     0.0255	     0.0835	    -0.0153	     0.0997	    -1.2826	     0.0361	    -0.0607	
    -0.0608	     0.0501	    -0.0869	    -0.0869	     0.0642	    -0.0978	    -0.0485	     0.0815	    -0.0383	    -0.0337	     0.0556	     0.0082	     0.0307	    -0.0524	    -0.2051	    -0.0389	     0.0903	     0.0131	     0.0835	    -0.0293	     0.0982	    -1.2643	     0.0827	    -0.0701	
    -0.0661	     0.0521	    -0.0867	    -0.0817	     0.0663	    -0.0886	    -0.0405	     0.0875	    -0.0286	    -0.0257	     0.0589	     0.0117	     0.0326	    -0.0532	    -0.2038	    -0.0537	     0.0946	     0.0044	     0.0827	    -0.0451	     0.0940	    -1.2408	     0.1240	    -0.0792	
    -0.0764	     0.0543	    -0.0911	    -0.0806	     0.0691	    -0.0888	    -0.0309	     0.0880	    -0.0236	    -0.0181	     0.0595	     0.0162	     0.0360	    -0.0513	    -0.2055	    -0.0681	     0.0990	    -0.0084	     0.0782	    -0.0536	     0.0892	    -1.2115	     0.1478	    -0.0869	
    -0.0826	     0.0554	    -0.0907	    -0.0718	     0.0722	    -0.0777	    -0.0162	     0.0974	    -0.0165	    -0.0054	     0.0589	     0.0235	     0.0402	    -0.0509	    -0.1985	    -0.0844	     0.1005	    -0.0150	     0.0733	    -0.0627	     0.0891	    -1.1748	     0.1585	    -0.0950	
    -0.0903	     0.0522	    -0.0904	    -0.0690	     0.0723	    -0.0763	    -0.0096	     0.0954	    -0.0051	     0.0039	     0.0555	     0.0272	     0.0418	    -0.0517	    -0.1964	    -0.0982	     0.1046	    -0.0256	     0.0678	    -0.0726	     0.0821	    -1.1335	     0.1491	    -0.1043	
    -0.0966	     0.0532	    -0.0888	    -0.0590	     0.0722	    -0.0723	     0.0058	     0.0989	     0.0040	     0.0165	     0.0592	     0.0356	     0.0478	    -0.0496	    -0.1893	    -0.1094	     0.1062	    -0.0311	     0.0633	    -0.0757	     0.0785	    -1.0917	     0.1245	    -0.1114	
    -0.0962	     0.0531	    -0.0857	    -0.0420	     0.0760	    -0.0641	     0.0202	     0.1011	     0.0133	     0.0276	     0.0627	     0.0456	     0.0552	    -0.0484	    -0.1807	    -0.1202	     0.1060	    -0.0342	     0.0601	    -0.0797	     0.0771	    -1.0491	     0.0948	    -0.1165	
    -0.0973	     0.0570	    -0.0802	    -0.0295	     0.0800	    -0.0514	     0.0339	     0.1052	     0.0258	     0.0432	     0.0673	     0.0558	     0.0661	    -0.0507	    -0.1700	    -0.1275	     0.1055	    -0.0357	     0.0576	    -0.0845	     0.0789	    -1.0078	     0.0596	    -0.1197	
    -0.1023	     0.0538	    -0.0792	    -0.0199	     0.0794	    -0.0489	     0.0460	     0.1044	     0.0352	     0.0545	     0.0665	     0.0621	     0.0736	    -0.0499	    -0.1654	    -0.1392	     0.1081	    -0.0363	     0.0516	    -0.0848	     0.0740	    -0.9706	     0.0266	    -0.1284	
    -0.0984	     0.0628	    -0.0725	    -0.0052	     0.0849	    -0.0371	     0.0613	     0.1116	     0.0510	     0.0696	     0.0724	     0.0755	     0.0887	    -0.0483	    -0.1594	    -0.1450	     0.1046	    -0.0345	     0.0501	    -0.0831	     0.0738	    -0.9323	    -0.0043	    -0.1309	
    -0.1030	     0.0632	    -0.0688	     0.0027	     0.0870	    -0.0305	     0.0675	     0.1127	     0.0620	     0.0818	     0.0746	     0.0897	     0.0999	    -0.0492	    -0.1581	    -0.1522	     0.1035	    -0.0290	     0.0461	    -0.0822	     0.0707	    -0.8978	    -0.0267	    -0.1340	
    -0.0959	     0.0652	    -0.0630	     0.0098	     0.0876	    -0.0208	     0.0740	     0.1124	     0.0741	     0.0938	     0.0807	     0.0981	     0.1102	    -0.0479	    -0.1528	    -0.1613	     0.0994	    -0.0216	     0.0449	    -0.0755	     0.0730	    -0.8669	    -0.0465	    -0.1336	
    -0.0931	     0.0663	    -0.0584	     0.0135	     0.0875	    -0.0137	     0.0785	     0.1124	     0.0843	     0.1015	     0.0836	     0.1079	     0.1248	    -0.0468	    -0.1530	    -0.1688	     0.0975	    -0.0166	     0.0420	    -0.0741	     0.0684	    -0.8332	    -0.0506	    -0.1371	
    -0.0932	     0.0661	    -0.0580	     0.0190	     0.0837	    -0.0089	     0.0833	     0.1096	     0.0882	     0.1116	     0.0807	     0.1148	     0.1323	    -0.0464	    -0.1583	    -0.1750	     0.0911	    -0.0127	     0.0374	    -0.0686	     0.0657	    -0.8060	    -0.0404	    -0.1376	
    -0.0905	     0.0660	    -0.0537	     0.0214	     0.0794	    -0.0028	     0.0893	     0.1045	     0.0954	     0.1189	     0.0787	     0.1200	     0.1447	    -0.0404	    -0.1588	    -0.1777	     0.0817	    -0.0024	     0.0353	    -0.0611	     0.0618	    -0.7812	    -0.0065	    -0.1340	
    -0.0884	     0.0605	    -0.0527	     0.0243	     0.0750	    -0.0045	     0.0909	     0.1014	     0.0980	     0.1256	     0.0708	     0.1201	     0.1501	    -0.0400	    -0.1596	    -0.1770	     0.0762	     0.0049	     0.0271	    -0.0539	     0.0500	    -0.7565	     0.0445	    -0.1317	
    -0.0868	     0.0548	    -0.0541	     0.0214	     0.0674	    -0.0016	     0.0910	     0.0909	     0.1027	     0.1296	     0.0691	     0.1216	     0.1606	    -0.0363	    -0.1557	    -0.1746	     0.0661	     0.0141	     0.0270	    -0.0487	     0.0419	    -0.7325	     0.0996	    -0.1228	
    -0.0858	     0.0429	    -0.0553	     0.0206	     0.0584	    -0.0001	     0.0910	     0.0869	     0.1058	     0.1375	     0.0640	     0.1233	     0.1685	    -0.0330	    -0.1543	    -0.1702	     0.0579	     0.0231	     0.0253	    -0.0416	     0.0331	    -0.7054	     0.1581	    -0.1172	
    -0.0869	     0.0333	    -0.0598	     0.0204	     0.0493	    -0.0049	     0.0915	     0.0764	     0.1018	     0.1361	     0.0573	     0.1200	     0.1695	    -0.0293	    -0.1551	    -0.1640	     0.0484	     0.0305	     0.0187	    -0.0379	     0.0233	    -0.6725	     0.2083	    -0.1119	
    -0.0879	     0.0234	    -0.0603	     0.0142	     0.0441	    -0.0080	     0.0881	     0.0676	     0.0998	     0.1370	     0.0465	     0.1180	     0.1737	    -0.0256	    -0.1482	    -0.1559	     0.0392	     0.0393	     0.0172	    -0.0331	     0.0141	    -0.6370	     0.2349	    -0.1034	
    -0.0968	     0.0115	    -0.0677	     0.0102	     0.0350	    -0.0094	     0.0837	     0.0586	     0.0946	     0.1355	     0.0389	     0.1122	     0.1737	    -0.0237	    -0.1396	    -0.1517	     0.0315	     0.0488	     0.0167	    -0.0313	     0.0069	    -0.5969	     0.2407	    -0.0997	
    -0.1011	    -0.0067	    -0.0756	    -0.0000	     0.0214	    -0.0144	     0.0757	     0.0485	     0.0899	     0.1346	     0.0336	     0.1078	     0.1734	    -0.0217	    -0.1337	    -0.1484	     0.0269	     0.0508	     0.0131	    -0.0286	    -0.0019	    -0.5520	     0.2294	    -0.0922	
    -0.1080	    -0.0217	    -0.0849	    -0.0084	     0.0137	    -0.0219	     0.0704	     0.0402	     0.0823	     0.1304	     0.0244	     0.1039	     0.1716	    -0.0197	    -0.1229	    -0.1387	     0.0216	     0.0601	     0.0105	    -0.0311	    -0.0064	    -0.5095	     0.2020	    -0.0879	
    -0.1135	    -0.0359	    -0.0928	    -0.0151	     0.0033	    -0.0261	     0.0646	     0.0339	     0.0807	     0.1291	     0.0213	     0.0973	     0.1704	    -0.0208	    -0.1121	    -0.1303	     0.0207	     0.0615	     0.0102	    -0.0337	    -0.0140	    -0.4696	     0.1667	    -0.0856	
    -0.1177	    -0.0503	    -0.1000	    -0.0223	    -0.0058	    -0.0319	     0.0584	     0.0237	     0.0736	     0.1244	     0.0147	     0.0930	     0.1634	    -0.0213	    -0.0939	    -0.1181	     0.0204	     0.0646	     0.0119	    -0.0340	    -0.0145	    -0.4340	     0.1270	    -0.0822	
    -0.1240	    -0.0620	    -0.1085	    -0.0299	    -0.0154	    -0.0360	     0.0542	     0.0150	     0.0678	     0.1217	     0.0133	     0.0897	     0.1647	    -0.0228	    -0.0780	    -0.1071	     0.0221	     0.0706	     0.0101	    -0.0349	    -0.0162	    -0.4057	     0.0872	    -0.0816	
    -0.1235	    -0.0763	    -0.1134	    -0.0324	    -0.0242	    -0.0410	     0.0528	     0.0092	     0.0633	     0.1180	     0.0085	     0.0880	     0.1564	    -0.0237	    -0.0593	    -0.0880	     0.0248	     0.0701	     0.0119	    -0.0334	    -0.0175	    -0.3827	     0.0449	    -0.0817	
    -0.1260	    -0.0884	    -0.1207	    -0.0381	    -0.0301	    -0.0429	     0.0505	     0.0025	     0.0590	     0.1133	     0.0082	     0.0861	     0.1534	    -0.0261	    -0.0404	    -0.0691	     0.0284	     0.0683	     0.0101	    -0.0361	    -0.0115	    -0.3635	     0.0116	    -0.0847	
    -0.1237	    -0.1007	    -0.1205	    -0.0408	    -0.0358	    -0.0465	     0.0479	    -0.0027	     0.0537	     0.1128	     0.0082	     0.0849	     0.1465	    -0.0272	    -0.0242	    -0.0464	     0.0313	     0.0712	     0.0109	    -0.0349	    -0.0109	    -0.3467	    -0.0154	    -0.0892	
    -0.1240	    -0.1125	    -0.1278	    -0.0442	    -0.0432	    -0.0492	     0.0471	    -0.0062	     0.0468	     0.1099	     0.0074	     0.0760	     0.1415	    -0.0258	    -0.0087	    -0.0254	     0.0328	     0.0716	     0.0101	    -0.0334	    -0.0036	    -0.3338	    -0.0262	    -0.0947	
    -0.1215	    -0.1222	    -0.1290	    -0.0418	    -0.0509	    -0.0493	     0.0471	    -0.0099	     0.0449	     0.1014	     0.0061	     0.0724	     0.1319	    -0.0233	     0.0106	    -0.0017	     0.0305	     0.0708	     0.0084	    -0.0297	     0.0023	    -0.3203	    -0.0231	    -0.0988	
    -0.1188	    -0.1352	    -0.1314	    -0.0440	    -0.0609	    -0.0491	     0.0471	    -0.0151	     0.0393	     0.0988	     0.0066	     0.0666	     0.1237	    -0.0197	     0.0260	     0.0236	     0.0275	     0.0684	     0.0044	    -0.0263	     0.0070	    -0.3075	    -0.0001	    -0.1038	
    -0.1191	    -0.1457	    -0.1310	    -0.0406	    -0.0665	    -0.0528	     0.0460	    -0.0163	     0.0326	     0.0915	     0.0079	     0.0601	     0.1134	    -0.0157	     0.0379	     0.0474	     0.0216	     0.0679	     0.0036	    -0.0242	     0.0149	    -0.2933	     0.0352	    -0.1085	
    -0.1171	    -0.1565	    -0.1315	    -0.0357	    -0.0727	    -0.0529	     0.0469	    -0.0175	     0.0243	     0.0867	     0.0074	     0.0548	     0.1048	    -0.0113	     0.0467	     0.0659	     0.0166	     0.0659	     0.0009	    -0.0201	     0.0195	    -0.2744	     0.0762	    -0.1105	
    -0.1097	    -0.1625	    -0.1279	    -0.0301	    -0.0745	    -0.0490	     0.0514	    -0.0183	     0.0207	     0.0836	     0.0118	     0.0481	     0.0938	    -0.0061	     0.0597	     0.0866	     0.0067	     0.0641	     0.0009	    -0.0146	     0.0286	    -0.2543	     0.1120	    -0.1127	
    -0.1048	    -0.1683	    -0.1255	    -0.0226	    -0.0804	    -0.0473	     0.0522	    -0.0166	     0.0162	     0.0771	     0.0144	     0.0411	     0.0827	    -0.0026	     0.0661	     0.0978	     0.0002	     0.0634	     0.0007	    -0.0076	     0.0328	    -0.2301	     0.1357	    -0.1119	
    -0.0954	    -0.1688	    -0.1190	    -0.0094	    -0.0795	    -0.0425	     0.0560	    -0.0143	     0.0140	     0.0694	     0.0200	     0.0353	     0.0729	     0.0011	     0.0704	     0.1140	    -0.0062	     0.0607	    -0.0009	    -0.0005	     0.0387	    -0.2020	     0.1387	    -0.1128	
    -0.0859	    -0.1677	    -0.1075	     0.0010	    -0.0764	    -0.0379	     0.0606	    -0.0096	     0.0088	     0.0643	     0.0251	     0.0330	     0.0621	     0.0065	     0.0761	     0.1194	    -0.0132	     0.0599	     0.0036	     0.0089	     0.0456	    -0.1680	     0.1245	    -0.1080	
    -0.0776	    -0.1602	    -0.0964	     0.0136	    -0.0662	    -0.0297	     0.0630	    -0.0035	     0.0106	     0.0617	     0.0298	     0.0342	     0.0588	     0.0102	     0.0767	     0.1250	    -0.0213	     0.0626	     0.0053	     0.0153	     0.0526	    -0.1347	     0.0907	    -0.1045	
    -0.0637	    -0.1476	    -0.0812	     0.0237	    -0.0598	    -0.0174	     0.0650	     0.0049	     0.0107	     0.0550	     0.0383	     0.0336	     0.0482	     0.0162	     0.0800	     0.1243	    -0.0293	     0.0638	     0.0057	     0.0260	     0.0564	    -0.1038	     0.0505	    -0.1016	
    -0.0528	    -0.1366	    -0.0711	     0.0320	    -0.0501	    -0.0124	     0.0641	     0.0157	     0.0116	     0.0484	     0.0487	     0.0317	     0.0412	     0.0184	     0.0803	     0.1194	    -0.0354	     0.0642	     0.0071	     0.0287	     0.0617	    -0.0710	     0.0030	    -0.0946	
    -0.0420	    -0.1225	    -0.0593	     0.0410	    -0.0385	    -0.0007	     0.0652	     0.0221	     0.0132	     0.0429	     0.0543	     0.0349	     0.0314	     0.0204	     0.0783	     0.1092	    -0.0394	     0.0700	     0.0079	     0.0372	     0.0656	    -0.0426	    -0.0451	    -0.0843	
    -0.0288	    -0.1084	    -0.0428	     0.0451	    -0.0259	     0.0062	     0.0629	     0.0338	     0.0184	     0.0383	     0.0674	     0.0355	     0.0285	     0.0203	     0.0775	     0.0992	    -0.0432	     0.0708	     0.0063	     0.0415	     0.0717	    -0.0173	    -0.0896	    -0.0791	
    -0.0158	    -0.0913	    -0.0271	     0.0499	    -0.0118	     0.0164	     0.0605	     0.0451	     0.0217	     0.0316	     0.0804	     0.0380	     0.0237	     0.0213	     0.0697	     0.0804	    -0.0439	     0.0763	     0.0036	     0.0441	     0.0761	     0.0054	    -0.1284	    -0.0690	
    -0.0047	    -0.0737	    -0.0149	     0.0487	    -0.0032	     0.0220	     0.0507	     0.0517	     0.0196	     0.0220	     0.0843	     0.0364	     0.0147	     0.0193	     0.0610	     0.0601	    -0.0389	     0.0743	    -0.0011	     0.0462	     0.0758	     0.0270	    -0.1605	    -0.0587	
    -0.0020	    -0.0599	    -0.0082	     0.0424	     0.0032	     0.0249	     0.0382	     0.0537	     0.0178	     0.0113	     0.0896	     0.0304	     0.0033	     0.0149	     0.0543	     0.0370	    -0.0341	     0.0724	    -0.0065	     0.0483	     0.0754	     0.0405	    -0.1767	    -0.0499	
     0.0050	    -0.0493	     0.0025	     0.0352	     0.0088	     0.0293	     0.0290	     0.0584	     0.0170	     0.0040	     0.0900	     0.0267	    -0.0079	     0.0140	     0.0483	     0.0192	    -0.0287	     0.0697	    -0.0150	     0.0498	     0.0706	     0.0536	    -0.1801	    -0.0367	
     0.0077	    -0.0422	     0.0074	     0.0218	     0.0112	     0.0296	     0.0144	     0.0576	     0.0116	    -0.0097	     0.0893	     0.0160	    -0.0203	     0.0113	     0.0367	    -0.0004	    -0.0238	     0.0663	    -0.0223	     0.0492	     0.0651	     0.0657	    -0.1624	    -0.0288	
     0.0083	    -0.0324	     0.0130	     0.0111	     0.0068	     0.0267	    -0.0028	     0.0561	     0.0033	    -0.0255	     0.0843	     0.0083	    -0.0307	     0.0092	     0.0266	    -0.0186	    -0.0170	     0.0552	    -0.0303	     0.0456	     0.0574	     0.0796	    -0.1277	    -0.0230	
     0.0032	    -0.0341	     0.0101	    -0.0067	     0.0037	     0.0227	    -0.0189	     0.0433	    -0.0102	    -0.0395	     0.0747	    -0.0111	    -0.0468	     0.0073	     0.0070	    -0.0361	    -0.0089	     0.0493	    -0.0464	     0.0425	     0.0475	     0.0961	    -0.0835	    -0.0169	
    -0.0013	    -0.0280	     0.0069	    -0.0230	    -0.0065	     0.0157	    -0.0391	     0.0384	    -0.0208	    -0.0564	     0.0704	    -0.0228	    -0.0647	     0.0040	    -0.0050	    -0.0507	    -0.0037	     0.0411	    -0.0525	     0.0366	     0.0406	     0.1155	    -0.0412	    -0.0115	
    -0.0059	    -0.0287	     0.0058	    -0.0402	    -0.0138	     0.0065	    -0.0555	     0.0274	    -0.0316	    -0.0707	     0.0601	    -0.0360	    -0.0763	     0.0002	    -0.0186	    -0.0583	     0.0049	     0.0345	    -0.0656	     0.0308	     0.0298	     0.1378	    -0.0088	    -0.0085	
    -0.0137	    -0.0243	     0.0021	    -0.0558	    -0.0192	     0.0004	    -0.0738	     0.0165	    -0.0406	    -0.0834	     0.0505	    -0.0485	    -0.0896	     0.0005	    -0.0313	    -0.0684	     0.0106	     0.0253	    -0.0726	     0.0275	     0.0208	     0.1663	     0.0114	    -0.0029	
    -0.0206	    -0.0224	    -0.0016	    -0.0721	    -0.0276	    -0.0072	    -0.0889	     0.0055	    -0.0556	    -0.0958	     0.0391	    -0.0616	    -0.1044	    -0.0019	    -0.0439	    -0.0692	     0.0163	     0.0175	    -0.0786	     0.0189	     0.0144	     0.1992	     0.0086	    -0.0008	
    -0.0258	    -0.0227	    -0.0071	    -0.0812	    -0.0350	    -0.0167	    -0.1005	    -0.0038	    -0.0639	    -0.1061	     0.0343	    -0.0712	    -0.1153	    -0.0026	    -0.0542	    -0.0751	     0.0200	     0.0113	    -0.0794	     0.0107	     0.0106	     0.2390	    -0.0092	     0.0041	
    -0.0353	    -0.0199	    -0.0119	    -0.0927	    -0.0416	    -0.0239	    -0.1120	    -0.0144	    -0.0720	    -0.1146	     0.0250	    -0.0823	    -0.1255	    -0.0019	    -0.0651	    -0.0744	     0.0228	     0.0037	    -0.0825	    -0.0001	     0.0089	     0.2801	    -0.0422	     0.0096	
    -0.0406	    -0.0175	    -0.0168	    -0.1026	    -0.0500	    -0.0300	    -0.1245	    -0.0239	    -0.0817	    -0.1253	     0.0167	    -0.0882	    -0.1335	    -0.0027	    -0.0801	    -0.0764	     0.0256	    -0.0013	    -0.0807	    -0.0097	     0.0028	     0.3213	    -0.0814	     0.0068	
    -0.0495	    -0.0184	    -0.0253	    -0.1124	    -0.0582	    -0.0370	    -0.1340	    -0.0357	    -0.0897	    -0.1305	     0.0100	    -0.0957	    -0.1413	    -0.0021	    -0.0868	    -0.0762	     0.0263	    -0.0092	    -0.0807	    -0.0197	    -0.0006	     0.3651	    -0.1199	     0.0097	
    -0.0538	    -0.0174	    -0.0281	    -0.1169	    -0.0603	    -0.0438	    -0.1409	    -0.0438	    -0.0980	    -0.1349	     0.0045	    -0.1019	    -0.1447	    -0.0014	    -0.0922	    -0.0768	     0.0265	    -0.0119	    -0.0759	    -0.0282	    -0.0002	     0.4045	    -0.1570	     0.0101	
    -0.0601	    -0.0213	    -0.0347	    -0.1196	    -0.0658	    -0.0498	    -0.1470	    -0.0565	    -0.1067	    -0.1419	     0.0013	    -0.1019	    -0.1492	    -0.0030	    -0.0990	    -0.0810	     0.0291	    -0.0188	    -0.0714	    -0.0367	    -0.0001	     0.4478	    -0.1924	     0.0088	
    -0.0686	    -0.0222	    -0.0395	    -0.1199	    -0.0739	    -0.0580	    -0.1555	    -0.0695	    -0.1130	    -0.1448	    -0.0069	    -0.1051	    -0.1527	     0.0001	    -0.1016	    -0.0795	     0.0263	    -0.0211	    -0.0655	    -0.0448	    -0.0037	     0.4864	    -0.2230	     0.0076	
    -0.0780	    -0.0277	    -0.0482	    -0.1236	    -0.0805	    -0.0640	    -0.1585	    -0.0775	    -0.1162	    -0.1455	    -0.0152	    -0.1109	    -0.1554	     0.0004	    -0.1012	    -0.0823	     0.0249	    -0.0261	    -0.0572	    -0.0539	    -0.0010	     0.5263	    -0.2415	     0.0104	
    -0.0836	    -0.0392	    -0.0594	    -0.1281	    -0.0910	    -0.0741	    -0.1663	    -0.0868	    -0.1248	    -0.1525	    -0.0227	    -0.1139	    -0.1601	     0.0013	    -0.1006	    -0.0876	     0.0212	    -0.0308	    -0.0504	    -0.0576	    -0.0016	     0.5630	    -0.2475	     0.0113	
    -0.0840	    -0.0475	    -0.0637	    -0.1276	    -0.0980	    -0.0798	    -0.1663	    -0.1002	    -0.1350	    -0.1555	    -0.0298	    -0.1167	    -0.1614	     0.0043	    -0.0909	    -0.0904	     0.0157	    -0.0350	    -0.0432	    -0.0650	    -0.0032	     0.5946	    -0.2340	     0.0123	
    -0.0890	    -0.0546	    -0.0733	    -0.1295	    -0.1110	    -0.0922	    -0.1715	    -0.1127	    -0.1435	    -0.1600	    -0.0447	    -0.1256	    -0.1638	     0.0090	    -0.0827	    -0.0959	     0.0096	    -0.0418	    -0.0349	    -0.0725	    -0.0086	     0.6257	    -0.2014	     0.0135	
    -0.0925	    -0.0623	    -0.0795	    -0.1266	    -0.1207	    -0.0975	    -0.1738	    -0.1273	    -0.1523	    -0.1603	    -0.0536	    -0.1311	    -0.1676	     0.0125	    -0.0698	    -0.0957	     0.0004	    -0.0455	    -0.0297	    -0.0752	    -0.0119	     0.6547	    -0.1497	     0.0178	
    -0.0918	    -0.0667	    -0.0810	    -0.1276	    -0.1288	    -0.1053	    -0.1730	    -0.1386	    -0.1570	    -0.1628	    -0.0652	    -0.1347	    -0.1709	     0.0175	    -0.0530	    -0.0965	    -0.0108	    -0.0519	    -0.0271	    -0.0778	    -0.0153	     0.6811	    -0.0893	     0.0242	
    -0.0891	    -0.0746	    -0.0840	    -0.1259	    -0.1380	    -0.1085	    -0.1750	    -0.1489	    -0.1629	    -0.1637	    -0.0791	    -0.1394	    -0.1709	     0.0204	    -0.0371	    -0.0981	    -0.0185	    -0.0590	    -0.0194	    -0.0764	    -0.0234	     0.7115	    -0.0308	     0.0265	
    -0.0815	    -0.0784	    -0.0813	    -0.1188	    -0.1425	    -0.1085	    -0.1678	    -0.1578	    -0.1671	    -0.1613	    -0.0896	    -0.1466	    -0.1724	     0.0250	    -0.0131	    -0.0917	    -0.0285	    -0.0625	    -0.0160	    -0.0742	    -0.0269	     0.7411	     0.0201	     0.0356	
    -0.0760	    -0.0788	    -0.0778	    -0.1138	    -0.1457	    -0.1063	    -0.1627	    -0.1618	    -0.1662	    -0.1574	    -0.1002	    -0.1479	    -0.1709	     0.0303	     0.0033	    -0.0853	    -0.0382	    -0.0665	    -0.0145	    -0.0691	    -0.0352	     0.7726	     0.0511	     0.0412	
    -0.0638	    -0.0802	    -0.0722	    -0.1070	    -0.1426	    -0.1031	    -0.1571	    -0.1667	    -0.1662	    -0.1520	    -0.1082	    -0.1501	    -0.1705	     0.0330	     0.0266	    -0.0751	    -0.0460	    -0.0692	    -0.0149	    -0.0581	    -0.0413	     0.8042	     0.0617	     0.0511	
    -0.0497	    -0.0752	    -0.0579	    -0.0954	    -0.1424	    -0.0943	    -0.1506	    -0.1672	    -0.1610	    -0.1485	    -0.1135	    -0.1486	    -0.1647	     0.0362	     0.0461	    -0.0646	    -0.0545	    -0.0697	    -0.0140	    -0.0499	    -0.0463	     0.8387	     0.0545	     0.0570	
    -0.0331	    -0.0676	    -0.0422	    -0.0784	    -0.1330	    -0.0800	    -0.1367	    -0.1640	    -0.1473	    -0.1366	    -0.1145	    -0.1393	    -0.1592	     0.0394	     0.0737	    -0.0446	    -0.0638	    -0.0700	    -0.0125	    -0.0332	    -0.0498	     0.8702	     0.0322	     0.0714	
    -0.0057	    -0.0576	    -0.0237	    -0.0559	    -0.1208	    -0.0661	    -0.1253	    -0.1569	    -0.1354	    -0.1252	    -0.1208	    -0.1342	    -0.1466	     0.0416	     0.0987	    -0.0225	    -0.0714	    -0.0698	    -0.0109	    -0.0163	    -0.0545	     0.8996	     0.0089	     0.0855	
     0.0170	    -0.0458	     0.0003	    -0.0332	    -0.1064	    -0.0482	    -0.1058	    -0.1489	    -0.1202	    -0.1116	    -0.1140	    -0.1210	    -0.1375	     0.0413	     0.1264	     0.0060	    -0.0766	    -0.0649	    -0.0085	     0.0016	    -0.0567	     0.9214	    -0.0245	     0.0989	
     0.0441	    -0.0300	     0.0297	    -0.0107	    -0.0880	    -0.0228	    -0.0846	    -0.1372	    -0.1013	    -0.0974	    -0.1130	    -0.1089	    -0.1236	     0.0444	     0.1548	     0.0320	    -0.0830	    -0.0609	    -0.0084	     0.0211	    -0.0629	     0.9416	    -0.0520	     0.1108	
     0.0789	    -0.0110	     0.0579	     0.0165	    -0.0669	     0.0020	    -0.0647	    -0.1226	    -0.0809	    -0.0805	    -0.1069	    -0.0936	    -0.1132	     0.0445	     0.1812	     0.0619	    -0.0864	    -0.0559	    -0.0079	     0.0373	    -0.0631	     0.9577	    -0.0770	     0.1249	
     0.1121	     0.0115	     0.0906	     0.0439	    -0.0484	     0.0283	    -0.0440	    -0.1109	    -0.0606	    -0.0645	    -0.1021	    -0.0793	    -0.1019	     0.0443	     0.2055	     0.0930	    -0.0912	    -0.0536	    -0.0053	     0.0523	    -0.0685	     0.9714	    -0.0953	     0.1400	
     0.1465	     0.0361	     0.1274	     0.0743	    -0.0232	     0.0590	    -0.0190	    -0.0936	    -0.0360	    -0.0481	    -0.0962	    -0.0621	    -0.0894	     0.0470	     0.2297	     0.1224	    -0.1017	    -0.0517	    -0.0016	     0.0680	    -0.0700	     0.9863	    -0.1066	     0.1559	
     0.1780	     0.0564	     0.1601	     0.0989	    -0.0002	     0.0860	     0.0004	    -0.0816	    -0.0164	    -0.0353	    -0.0945	    -0.0521	    -0.0804	     0.0473	     0.2456	     0.1513	    -0.1050	    -0.0537	    -0.0004	     0.0800	    -0.0783	     0.9971	    -0.1021	     0.1694	
